City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
296,Severo-Yeniseyskiy,RU,60.3725,93.0408,-8.77,97,100,4.5,overcast clouds
297,Bereda,ES,43.2686,-7.5406,47.57,100,100,0.65,overcast clouds
298,Poindimie,NC,-20.9333,165.3333,80.78,73,55,7.27,broken clouds
299,Tarko-Sale,RU,64.9225,77.785,5.36,76,81,21.34,broken clouds
300,Luganville,VU,-15.5333,167.1667,82.96,66,30,8.97,scattered clouds
301,Sept-Iles,CA,50.2001,-66.3821,28.4,69,20,5.75,few clouds
302,Kandrian,PG,-6.2167,149.55,85.01,68,65,7.94,broken clouds
303,Mumford,GH,5.2618,-0.759,79.16,87,77,8.61,broken clouds
304,Jiayuguan,CN,39.8167,98.3,7.02,90,98,6.13,overcast clouds
305,Salalah,OM,17.0151,54.0924,72.28,55,5,6.46,clear sky
306,Broken Hill,AU,-31.95,141.4333,62.02,39,0,14.32,clear sky
307,Uttukkuli,IN,11.1667,77.4333,69.01,81,8,0.89,clear sky
308,Codrington,AU,-38.2667,141.9667,57.09,73,99,13.29,overcast clouds
309,Mazatlan,MX,23.2167,-106.4167,73.9,74,3,5.99,clear sky
310,Bredasdorp,ZA,-34.5322,20.0403,69.64,92,92,6.15,overcast clouds
311,Tafo,GH,6.7345,-1.6127,73.35,77,28,4.72,scattered clouds
312,Simpang,ID,-1.2667,104.0833,74.64,97,100,2.15,overcast clouds
313,Labis,MY,2.385,103.021,72.34,97,96,2.98,overcast clouds
314,Santa Rosa,PH,14.3122,121.1114,78.78,96,32,8.14,scattered clouds
315,Tatawin,TN,32.9297,10.4518,69.22,33,82,10.38,broken clouds
316,Sao Filipe,CV,14.8961,-24.4956,78.31,65,0,10.74,clear sky
317,Storm Lake,US,42.6411,-95.2097,23.31,93,100,32.21,overcast clouds
318,Fare,PF,-16.7,-151.0167,80.2,77,74,17.13,light rain
319,Nome,US,64.5011,-165.4064,-3.12,90,3,4.88,clear sky
320,Banda Aceh,ID,5.5577,95.3222,77.05,85,97,2.46,overcast clouds
321,Bellavista,PE,-7.0561,-76.5911,83.88,56,82,3.11,broken clouds
322,Betlitsa,RU,54.0095,33.9588,28.72,96,100,9.95,light snow
323,Bongandanga,CD,1.5,21.05,71.06,85,79,1.39,broken clouds
324,Necochea,AR,-38.5473,-58.7368,59.86,65,4,14.47,clear sky
325,Churapcha,RU,62.0025,132.4325,-50.78,99,98,4.05,overcast clouds
326,Gari,RU,59.4307,62.3497,2.28,97,67,6.17,broken clouds
327,Shangzhi,CN,45.2167,127.9667,-5.26,77,0,11.05,clear sky
328,Barcelos,PT,41.5388,-8.6151,55.54,87,92,8.46,overcast clouds
329,Morondava,MG,-20.2833,44.2833,78.22,81,21,4.65,few clouds
330,Somerset East,ZA,-32.7217,25.588,65.35,71,40,3.8,scattered clouds
331,Chuy,UY,-33.6971,-53.4616,62.6,79,96,12.64,overcast clouds
332,Port Elizabeth,ZA,-33.918,25.5701,71.31,96,100,3.44,overcast clouds
333,Mineiros,BR,-17.5694,-52.5511,71.53,86,65,1.48,broken clouds
334,Taltal,CL,-25.4,-70.4833,67.55,77,36,5.75,scattered clouds
335,Ancud,CL,-41.8697,-73.8203,58.37,68,100,2.82,overcast clouds
336,Atambua,ID,-9.1061,124.8925,76.96,81,100,1.12,overcast clouds
337,Sortland,NO,68.6949,15.4162,29.08,86,97,24.4,light snow
338,Lumphat,KH,13.4878,106.9816,65.97,92,34,2.39,scattered clouds
339,Saint George,US,37.1041,-113.5841,48.94,41,2,4.0,clear sky
340,Dongsheng,CN,39.8161,109.9776,2.25,51,30,13.2,scattered clouds
